ds,yhat,yhat_lower,yhat_upper
2025-07-14,284.2277381625836,269.0706245824828,301.14716439726135
2025-07-15,296.0248444674247,280.1790285749659,312.1578733450466
2025-07-16,283.850186788536,269.0048329349645,300.1549317936367
2025-07-17,292.1951318403345,276.06892281336593,306.9919087627926
2025-07-18,336.9040876101839,321.5390724304807,353.3924131068822
2025-07-19,289.79607354818535,273.14289360425096,306.31693653964703
2025-07-20,343.123055404421,326.40442409314505,359.91520314290676
2025-07-21,283.8513382144175,266.7188716258186,300.2781622322278
2025-07-22,295.64880217216074,279.2458339387601,311.1756855671397
2025-07-23,283.47450214596716,268.20085975782274,299.82358105086905
2025-07-24,291.81980485096096,275.0362221463202,308.3445295402021
2025-07-25,336.52911827353233,319.96933084713936,352.38159390597
2025-07-26,289.42674851967615,272.8936680668881,306.019749186498
2025-07-27,342.75937468404874,326.3863584605535,357.68941077451586
2025-07-28,283.4933018022476,268.5555803922898,299.5505626341015
2025-07-29,295.2960524353477,278.5020952926915,311.2689692847528
2025-07-30,283.13555246527113,266.76084856855425,300.57532036760904
2025-07-31,291.4946552252255,275.37425984856253,307.42219386849615
2025-08-01,336.21776870352284,320.8061967356978,353.253430501828
2025-08-02,289.13167339724004,273.0740041513244,305.2545974078337
2025-08-03,342.4805740091448,326.70769032182085,359.52823198569627
2025-08-04,283.2307755746914,266.1542941266856,299.03344308388404
2025-08-05,295.0498006553406,278.3227923362314,310.8809312675602
2025-08-06,282.90314748250137,266.19880030243957,299.5756053912137
2025-08-07,291.2760970400774,275.6960449838149,307.35446979744563
2025-08-08,336.01305731556687,320.22437315087956,351.28462902861736
2025-08-09,288.9376425251174,271.49270288011644,305.56961397080386
2025-08-10,342.2972236528341,325.2892073942738,357.87693915170917
2025-08-11,283.05810573443307,265.7170381435807,298.9690379980231
2025-08-12,294.8878113309312,279.2996882628944,310.73610619655864
2025-08-13,282.76119583751483,266.9974559151842,299.3570823619858
2025-08-14,291.1541830747972,276.0817786045617,307.79311054459015
2025-08-15,335.9111810295943,320.5891751801471,351.78310931587066
2025-08-16,288.85120913286494,272.1736995557379,305.3374811312736
2025-08-17,342.2390645176786,324.6528649307951,357.73631124097864
2025-08-18,283.02822085618754,267.1704182542113,298.56891440662054
2025-08-19,294.88620070985866,278.29636306743663,310.30139134492447
2025-08-20,282.7840698643415,265.4887674838988,298.1884873250995
2025-08-21,291.20154174961345,274.2584929994011,306.61375044913825
2025-08-22,335.9830243528186,319.3322331348947,352.54227449079406
2025-08-23,288.9475371039777,273.22355508990285,304.4855168972001
2025-08-24,342.3546069931083,326.2432390448052,357.38740161608985
2025-08-25,283.162977835816,267.1347199451917,300.4893353717282
